model,member,RMSE two-exp,RMSE three-exp,RMSE two-exp + osc,% change1,% change2
CESM2,r1i1p1f1,0.10790462157977485,0.10657532158239666,0.10655965146013219,-1.232,-0.015
CNRM-CM6-1,r1i1p1f2,0.09910799952193994,0.09810408289999117,0.09190975232846826,-1.013,-6.314
CanESM5,r1i1p2f1,0.1038128988523708,0.10372510674720832,0.09871657328521269,-0.085,-4.829
GISS-E2-1-G,r1i1p1f1,0.12023292268906532,0.11930083232886718,0.11922113773737743,-0.775,-0.067
HadGEM3-GC31-LL,r1i1p1f3,0.17414841113769364,0.16565004243089718,0.102920903996514,-4.88,-37.868
IPSL-CM6A-LR,r1i1p1f1,0.1371039017992304,0.1186772368585628,0.10920553078326406,-13.44,-7.981
MIROC6,r1i1p1f1,0.07378039565532181,0.07377133502193685,0.07041735603983713,-0.012,-4.546
MRI-ESM2-0,r1i1p1f1,0.09958705636276714,0.09958705632954322,0.09782766206716069,-0.0,-1.767
TaiESM1,r1i1p1f1,0.09972827451765329,0.09434562689576254,0.0976068712151867,-5.397,3.457
